time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/fps,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,train/critic_loss,train/ent_coef,train/learning_rate,train/actor_loss,eval/mean_reward,eval/mean_ep_length
32,-6.99656725,0,4,461,8.0,,,,,,,,
62,-8.317373125,0,8,475,7.75,,,,,,,,
84,-7.331745916666665,0,12,485,7.0,,,,,,,,
108,-7.1098645625,0,16,147,6.75,-0.03399041295051575,7,22.168277740478516,0.9981920123100281,0.0003,-7.441600799560547,,
139,-8.128999750000002,1,20,97,6.95,-0.22650817036628723,38,14.59060287475586,0.9886578321456909,0.0003,-12.058609008789062,,
163,-7.757785541666666,1,24,88,6.791666666666667,-0.3752163052558899,62,14.908208847045898,0.9813235402107239,0.0003,-12.697752952575684,,
190,-7.987738892857143,2,28,84,6.785714285714286,-0.5446335077285767,89,12.84764575958252,0.9731958508491516,0.0003,-13.473929405212402,,
212,-7.8772039375,2,32,80,6.625,-0.6752294301986694,111,14.354020118713379,0.9666590690612793,0.0003,-13.467633247375488,,
247,-8.031330055555555,3,36,77,6.861111111111111,-0.8943567872047424,146,12.44869613647461,0.9563918113708496,0.0003,-14.176868438720703,,
274,-7.9089612,3,40,75,6.85,-1.054711103439331,173,9.774110794067383,0.9485719203948975,0.0003,-13.996183395385742,,
295,-7.755282295454544,3,44,75,6.704545454545454,-1.1857619285583496,194,9.428524017333984,0.9425482153892517,0.0003,-15.009872436523438,,
323,-7.772263312500001,4,48,74,6.729166666666667,-1.350618839263916,222,5.186997413635254,0.9345964789390564,0.0003,-15.824613571166992,,
349,-7.770383346153846,4,52,74,6.711538461538462,-1.5039138793945312,248,4.814146041870117,0.9272814393043518,0.0003,-15.682512283325195,,
373,-7.679206571428572,5,56,73,6.660714285714286,-1.6506927013397217,272,4.267354965209961,0.9205918908119202,0.0003,-15.820140838623047,,
401,-7.664991033333333,5,60,73,6.683333333333334,-1.804344654083252,300,3.750931739807129,0.912864625453949,0.0003,-16.314157485961914,,
436,-7.767049468750001,6,64,72,6.8125,-2.022268533706665,335,4.887691974639893,0.9033104777336121,0.0003,-17.051572799682617,,
464,-7.679889750000001,6,68,71,6.823529411764706,-2.1875460147857666,363,3.075312614440918,0.8957476019859314,0.0003,-16.666000366210938,,
491,-7.569423527777778,6,72,71,6.819444444444445,-2.3403234481811523,390,3.4073684215545654,0.8885225653648376,0.0003,-17.924875259399414,,
514,-7.465697223684211,7,76,70,6.7631578947368425,-2.4952917098999023,413,3.1587753295898438,0.8824169635772705,0.0003,-18.232683181762695,,
542,-7.457370350000001,7,80,70,6.775,-2.6384663581848145,441,4.333219528198242,0.8750444650650024,0.0003,-17.818891525268555,,
566,-7.465595785714287,8,84,69,6.738095238095238,-2.7792744636535645,465,2.5562634468078613,0.8687778115272522,0.0003,-18.629390716552734,,
590,-7.337916352272727,8,88,70,6.704545454545454,-2.919248104095459,489,3.0387163162231445,0.8625547885894775,0.0003,-18.28063201904297,,
622,-7.3363005326086945,8,92,69,6.760869565217392,-3.10813570022583,521,2.5440139770507812,0.854327380657196,0.0003,-18.147884368896484,,
652,-7.2375744270833335,9,96,69,6.791666666666667,-3.3056576251983643,551,2.802494764328003,0.8466864824295044,0.0003,-19.163116455078125,,
682,-7.14451915,9,100,69,6.82,-3.48907470703125,581,3.290325164794922,0.8391122221946716,0.0003,-18.915597915649414,,
705,-7.074579880000003,10,104,69,6.73,-3.6290104389190674,604,2.7512617111206055,0.8333483934402466,0.0003,-18.012163162231445,,
738,-6.872987470000001,10,108,69,6.76,-3.8317203521728516,637,2.6394505500793457,0.8251507878303528,0.0003,-18.386077880859375,,
776,-7.03271882,11,112,69,6.92,-4.010227203369141,675,3.1838932037353516,0.8158071637153625,0.0003,-18.587963104248047,,
799,-6.998849270000002,11,116,69,6.91,-4.156317234039307,698,2.9013257026672363,0.8102155923843384,0.0003,-19.006023406982422,,
827,-6.723922739999999,11,120,69,6.88,-4.312242031097412,726,3.200693368911743,0.8034687638282776,0.0003,-19.1668701171875,,
846,-6.69219572,12,124,69,6.83,-4.436664581298828,745,2.447239398956299,0.7989223003387451,0.0003,-19.09930992126465,,
869,-6.546882040000001,12,128,69,6.79,-4.563386917114258,768,3.5753448009490967,0.7934606075286865,0.0003,-19.18848419189453,,
895,-6.485249549999999,12,132,69,6.83,-4.733175277709961,794,3.672899007797241,0.7873291969299316,0.0003,-19.149063110351562,,
924,-6.364518619999999,13,136,68,6.77,-4.869706630706787,823,2.930755615234375,0.7805398106575012,0.0003,-19.805255889892578,,
958,-6.437483149999999,13,140,68,6.84,-5.039524078369141,857,4.057421684265137,0.7726716995239258,0.0003,-19.108173370361328,,
982,-6.36067671,14,144,68,6.87,-5.209744453430176,881,3.4359889030456543,0.7671768069267273,0.0003,-19.750017166137695,,
1005,-6.321941130000002,14,148,68,6.82,-5.3403730392456055,904,4.06025505065918,0.7619454860687256,0.0003,-18.673686981201172,,
1043,-6.3367116,15,152,68,6.94,-5.568042278289795,942,3.120917320251465,0.7533798217773438,0.0003,-19.493953704833984,,
1071,-6.32121128,15,156,68,6.98,-5.681628227233887,970,2.908233642578125,0.7471352219581604,0.0003,-18.329734802246094,,
1102,-6.34308729,16,160,68,7.01,-5.926324844360352,1001,3.1707072257995605,0.7402865290641785,0.0003,-19.55525779724121,,
1133,-6.23106306,16,164,68,6.97,-6.046790599822998,1032,3.3580174446105957,0.7335094213485718,0.0003,-19.168855667114258,,
