time/total_timesteps,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/n_updates,train/actor_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
29,426,4,-6.92136075,0,7.25,,,,,,,,
59,427,8,-7.974876625,0,7.375,,,,,,,,
78,436,12,-7.145918583333334,0,6.5,,,,,,,,
97,438,16,-6.584349,0,6.0625,,,,,,,,
125,113,20,-7.15476815,1,6.25,15.23703384399414,0.0003,-0.13953062891960144,24,-12.380899429321289,0.9929684400558472,,
146,95,24,-7.068132166666667,1,6.083333333333333,16.39820671081543,0.0003,-0.2711179256439209,45,-12.195178985595703,0.9864839315414429,,
171,84,28,-7.096934,2,6.107142857142857,18.701995849609375,0.0003,-0.4272741377353668,70,-12.604279518127441,0.9788621068000793,,
188,80,32,-6.96283434375,2,5.875,13.753398895263672,0.0003,-0.5305187106132507,87,-13.16695785522461,0.9737489819526672,,
219,76,36,-6.966649583333333,2,6.083333333333333,13.894973754882812,0.0003,-0.7223871946334839,118,-13.542539596557617,0.9645398855209351,,
245,73,40,-7.0166338249999995,3,6.125,13.890934944152832,0.0003,-0.8834667801856995,144,-13.251113891601562,0.9569149017333984,,
262,71,44,-6.7788598863636365,3,5.954545454545454,12.657537460327148,0.0003,-0.982322096824646,161,-13.628597259521484,0.9519706964492798,,
290,68,48,-6.793516250000001,4,6.041666666666667,8.902307510375977,0.0003,-1.1535007953643799,189,-14.498008728027344,0.9439129829406738,,
312,67,52,-6.770931269230768,4,6.0,5.698268413543701,0.0003,-1.2812241315841675,211,-14.394948959350586,0.9376512169837952,,
333,65,56,-6.684719232142858,5,5.946428571428571,3.9155263900756836,0.0003,-1.4072312116622925,232,-15.514509201049805,0.9317312836647034,,
357,65,60,-6.706220983333334,5,5.95,3.81817364692688,0.0003,-1.5476347208023071,256,-15.640189170837402,0.9250229597091675,,
385,63,64,-6.7960855625,6,6.015625,3.0910122394561768,0.0003,-1.7130697965621948,284,-16.621244430541992,0.9172638654708862,,
