time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
670,7.5,30,-7.83082325,0,4,,,,,,
755,7.5,60,-9.073099500000001,0,8,,,,,,
782,6.833333333333333,82,-7.959854,0,12,,,,,,
621,6.5625,105,-7.604297,0,16,,,,,,
247,7.2,144,-6.479453100000001,0,20,0.001,0.32163909408781266,41,0.48264145106077194,,
225,7.208333333333333,173,-5.774632291666666,0,24,0.001,0.20253388285636903,69,0.42605702579021454,,
213,7.321428571428571,205,-5.799294892857143,0,28,0.001,0.12827851325273515,97,0.4364258050918579,,
199,7.28125,233,-5.489937687499999,1,32,0.001,0.06358281212548415,129,0.4736596445242564,,
189,7.972222222222222,287,-4.960288111111111,1,36,0.001,0.03977442036072413,177,0.3681250976191627,,
179,7.975,319,-4.5024747750000005,1,40,0.001,0.0225329608656466,217,0.37212221324443817,,
178,7.704545454545454,339,-4.033245704545455,1,44,0.001,0.030920617654919623,237,0.3170790523290634,,
178,7.8125,375,-3.822168895833333,2,48,0.001,0.031556375324726105,269,0.3300342857837677,,
176,7.884615384615385,410,-3.6135052307692304,2,52,0.001,0.029522301895277842,304,0.32373958826065063,,
173,7.857142857142857,440,-3.3263099285714284,2,56,0.001,0.028304577139871463,338,0.33173033595085144,,
173,7.983333333333333,479,-3.295767316666667,2,60,0.001,0.030662883871368,371,0.35587428013483685,,
170,8.03125,514,-3.209537734375,3,64,0.001,0.026582869701087475,412,0.3664194842179616,,
170,8.147058823529411,554,-3.1027342794117647,3,68,0.001,0.0251238115131855,445,0.3867385983467102,,
167,8.097222222222221,583,-3.088930625,3,72,0.001,0.03660949505865574,480,0.4370728333791097,,
167,8.0,608,-2.9693914210526313,3,76,0.001,0.02626312089463075,505,0.38912790020306903,,
167,8.0375,643,-2.8900419250000002,3,80,0.001,0.034926768951117994,535,0.44906545281410215,,
165,7.9523809523809526,668,-2.7923604880952384,4,84,0.001,0.031154669289078032,564,0.3628801554441452,,
164,7.9772727272727275,702,-2.665579034090909,4,88,0.001,0.03191128228273657,598,0.39710144996643065,,
164,8.130434782608695,748,-2.5393172717391304,4,92,0.001,0.03400672998811517,641,0.4464319220611027,,
163,8.083333333333334,776,-2.449272270833333,4,96,0.001,0.030580273270606993,671,0.4310069978237152,,
163,7.97,797,-2.3317782,4,100,0.001,0.03241051392008861,695,0.45632662375768024,,
163,7.94,824,-2.00705956,5,104,0.001,0.03606364689767361,716,0.4155748983224233,,
161,8.02,862,-1.63116871,5,108,0.001,0.06414361360172431,759,0.3980133334795634,,
161,8.23,905,-1.3441440099999997,5,112,0.001,0.04969716506699721,803,0.3325416296720505,,
162,8.26,931,-1.03934004,5,116,0.001,0.05073166862130165,829,0.4518157094717026,,
163,8.25,969,-0.9761219299999999,5,120,0.001,0.04586675763130188,858,0.34336604674657184,,
162,8.17,990,-0.8534659800000002,6,124,0.001,0.04261892226835092,888,0.3530670702457428,,
162,8.16,1021,-0.62853179,6,128,0.001,0.04908814020454884,919,0.3718974947929382,,
162,8.18,1051,-0.48914893,6,132,0.001,0.051681050658226015,949,0.42940853536129,,
162,7.96,1083,-0.49901685,6,136,0.001,0.04580266494303942,981,0.3958583225806554,,
163,7.93,1112,-0.50788276,6,140,0.001,0.04268682158241669,1007,0.35611629486083984,,
163,8.07,1146,-0.5584548500000001,7,144,0.001,0.0471518836915493,1044,0.395402517169714,,
163,8.0,1175,-0.50791157,7,148,0.001,0.04165372811257839,1071,0.428171972433726,,
163,8.17,1227,-0.57966315,7,152,0.001,0.04774804588626413,1116,0.456713017490175,,
162,8.27,1267,-0.5518209700000001,7,156,0.001,0.04617753773927689,1165,0.3468458205461502,,
163,8.3,1309,-0.38985991,8,160,0.001,0.0494507186114788,1202,0.37254536151885986,,
163,8.32,1346,-0.29540747999999994,8,164,0.001,0.036658825725317,1243,0.5004794895648956,,
163,8.21,1375,-0.21750359,8,168,0.001,0.03784961327910423,1268,0.3853883345921834,,
163,8.24,1407,-0.10483868999999998,8,172,0.001,0.044180240482091904,1304,0.4143937051296234,,
162,8.4,1448,-0.016274739999999954,8,176,0.001,0.052664757040994506,1346,0.3744215284075056,,
162,8.39,1482,0.08138230000000003,9,180,0.001,0.04728822037577629,1377,0.357005774974823,,
