rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/episodes,time/total_timesteps,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
-7.75107425,554,7.5,0,4,30,,,,,,
-7.275013375,608,6.5,0,8,52,,,,,,
-6.742450166666667,630,5.833333333333333,0,12,70,,,,,,
-6.5052440625,633,5.6875,0,16,91,,,,,,
-6.507288700000001,129,5.85,0,20,117,0.9046696424484253,14,0.9749487439791361,0.001,,
-5.6662252083333335,127,5.666666666666667,1,24,136,0.4915848016738892,34,0.6250608960787455,0.001,,
-5.3569086071428575,126,5.892857142857143,1,28,165,0.33238819903797573,60,0.597307002544403,0.001,,
-5.1570294062499995,127,6.0625,1,32,194,0.16218251734972,85,0.6036628782749176,0.001,,
-4.726382444444443,128,6.527777777777778,1,36,235,0.08999393632014592,126,0.5258363038301468,0.001,,
-4.2803157249999995,126,6.45,2,40,258,0.0767950601875782,156,0.5158640891313553,0.001,,
-3.998852795454546,129,6.363636363636363,2,44,280,0.07097306475043297,173,0.46851545572280884,0.001,,
-3.7684021874999996,128,6.541666666666667,2,48,314,0.06951828797658284,213,0.48380865901708603,0.001,,
-3.6045043846153844,129,6.673076923076923,2,52,347,0.056205779727962285,245,0.42500071227550507,0.001,,
-3.4206283928571426,129,6.678571428571429,2,56,374,0.05283063743263483,272,0.42585083842277527,0.001,,
-3.409922633333333,131,6.883333333333334,3,60,413,0.05011620786454943,304,0.49384563565254214,0.001,,
-3.3394397343749995,132,6.96875,3,64,446,0.0392010360956192,335,0.4482189416885376,0.001,,
-3.119758808823529,131,6.985294117647059,3,68,475,0.044064946472644806,373,0.523668327501842,0.001,,
-3.0968674027777774,131,7.0,3,72,504,0.048858365043997765,400,0.5157740712165833,0.001,,
-2.9386169605263155,131,6.934210526315789,4,76,527,0.04604189693927765,422,0.5123569170633951,0.001,,
-2.8524616875,131,6.9625,4,80,557,0.054687334393913094,455,0.5169489502906799,0.001,,
-2.7509992380952375,131,6.928571428571429,4,84,582,0.052854711562395094,477,0.42869986593723297,0.001,,
-2.640279840909091,131,6.954545454545454,4,88,612,0.05544374821086725,508,0.4605938692887624,0.001,,
-2.5856692717391305,131,7.1521739130434785,4,92,658,0.049418048933148384,554,0.48416388630867,0.001,,
-2.4515344999999997,131,7.0625,5,96,678,0.06235892006329128,577,0.3738621473312378,0.001,,
-2.3190055,131,6.96,5,100,696,0.06020485423505306,595,0.4218483716249466,0.001,,
-1.94682273,133,7.05,5,104,735,0.06469562649726868,618,0.40274622440338137,0.001,,
-1.7395609500000004,132,7.22,5,108,774,0.060476898401975634,660,0.36644333600997925,0.001,,
-1.6075630600000002,131,7.5,6,112,820,0.0518460888415575,712,0.39286333322525024,0.001,,
-1.3355192100000002,130,7.49,6,116,840,0.06224463731050491,739,0.373515248298645,0.001,,
-1.08534117,130,7.61,6,120,878,0.0581279955804348,776,0.3858310409954616,0.001,,
-1.02899068,131,7.64,6,124,900,0.06226277071982622,794,0.36515504121780396,0.001,,
-0.91131221,131,7.67,7,128,932,0.07117419391870498,824,0.37345168987909955,0.001,,
-0.7287380900000001,130,7.6,7,132,954,0.06539444401860237,849,0.3963271528482437,0.001,,
-0.7060056800000002,130,7.48,7,136,983,0.06120714731514454,880,0.4294568747282028,0.001,,
-0.6896466800000002,130,7.48,7,140,1006,0.0638554443915685,905,0.45314215620358783,0.001,,
-0.6229948900000001,130,7.53,7,144,1033,0.0729352816939354,932,0.3865308662255605,0.001,,
-0.5723728899999999,130,7.47,8,148,1061,0.06646771516118731,959,0.3443342248598735,0.001,,
-0.6247307699999999,131,7.82,8,152,1129,0.08043419818083446,1012,0.3701041638851166,0.001,,
-0.6614880500000001,130,7.93,8,156,1167,0.08648422360420227,1055,0.3667938560247421,0.001,,
-0.59584719,130,7.89,9,160,1202,0.10294508785009385,1095,0.4102590024471283,0.001,,
-0.55791969,130,7.86,9,164,1232,0.0977634385228157,1130,0.3756951292355855,0.001,,
-0.6028031399999999,130,7.87,9,168,1262,0.07676208838820457,1161,0.4989000499248505,0.001,,
-0.53952687,130,7.91,9,172,1295,0.08813597112894059,1193,0.5710942149162292,0.001,,
-0.5212187500000001,130,7.96,10,176,1323,0.08091343641281128,1220,0.37910518050193787,0.001,,
-0.55840017,130,8.06,10,180,1363,0.08119891335566838,1255,0.43448521196842194,0.001,,
-0.49571051999999993,129,8.11,10,184,1393,0.08269506990909577,1292,0.4911288221677144,0.001,,
-0.4792852399999999,129,8.1,10,188,1422,0.08795114234089851,1310,0.4644637604554494,0.001,,
-0.4229342599999999,129,8.04,11,192,1462,0.08247744590044022,1357,0.4949600547552109,0.001,,
-0.3888298799999999,129,8.23,11,196,1501,0.07990632764995098,1399,0.48165897528330487,0.001,,
-0.37362073999999984,129,8.32,11,200,1528,0.09626456137214388,1427,0.413815716902415,0.001,,
-0.4071406699999999,129,8.13,11,204,1548,0.07621161391337712,1447,0.35397552450497943,0.001,,
-0.3183788799999999,129,8.0,12,208,1574,0.07615950331091881,1473,0.5050710141658783,0.001,,
-0.19861595999999998,129,7.76,12,212,1596,0.07965731407914843,1495,0.4532556931177775,0.001,,
-0.22093013999999994,129,7.83,12,216,1623,0.08337004706263543,1519,0.4460337311029434,0.001,,
-0.17956215999999992,129,7.75,12,220,1653,0.11443844288587571,1552,0.5042064587275187,0.001,,
-0.13691735999999996,129,7.72,12,224,1672,0.12616642862558364,1571,0.3137196898460388,0.001,,
-0.06481759999999998,129,7.63,13,228,1695,0.1004542276263237,1589,0.5288192927837372,0.001,,
-0.08190248,130,7.76,13,232,1730,0.08682595491409302,1624,0.2904735207557678,0.001,,
-0.038981230000000026,130,7.76,13,236,1759,0.08729892720778783,1656,0.5342824041843415,0.001,,
-0.010993090000000054,130,7.91,13,240,1797,0.10034716071990821,1693,0.42012029389540356,0.001,,
-0.0060096500000001015,130,7.88,13,244,1821,0.10964335352182389,1719,0.39021939039230347,0.001,,
-0.02207570000000011,130,7.89,14,248,1850,0.11093044728040695,1744,0.35058122873306274,0.001,,
0.13640449999999993,130,7.38,14,252,1867,0.09398610144853592,1765,0.5048617422580719,0.001,,
0.24562309999999993,130,7.25,14,256,1892,0.09028162434697151,1791,0.4118683437506358,0.001,,
0.34478158999999997,130,7.17,14,260,1919,0.10642144735902548,1815,0.41624103486537933,0.001,,
0.42915061,131,7.16,14,264,1948,0.09622351328531902,1842,0.4527299702167511,0.001,,
0.47693294,131,7.13,15,268,1975,0.08795580454170704,1869,0.54488305747509,0.001,,
0.55381374,131,7.07,15,272,2002,0.08165979981422425,1896,0.4878939886887868,0.001,,
0.5040789499999999,131,7.17,15,276,2040,0.1084164772182703,1937,0.4979136660695076,0.001,,
0.6258030800000001,131,7.04,15,280,2067,0.09723580628633499,1966,0.5222163001696268,0.001,,
0.6299848499999999,131,6.98,15,284,2091,0.09846401959657669,1989,0.509249821305275,0.001,,
0.6768281199999998,131,6.88,16,288,2110,0.08369515091180801,2008,0.48506341377894086,0.001,,
0.6974459299999998,131,6.74,16,292,2136,0.10335656255483627,2029,0.4019075930118561,0.001,,
0.63053801,131,6.71,16,296,2172,0.10730895847082138,2064,0.43053815762201947,0.001,,
0.60040037,131,6.72,16,300,2200,0.11750576738268137,2098,0.4939293675124645,0.001,,
0.61022954,131,6.88,16,304,2236,0.10172439569776709,2134,0.5330868661403656,0.001,,
0.64167682,131,6.86,17,308,2260,0.11569486558437347,2154,0.5799753963947296,0.001,,
0.58503455,132,6.93,17,312,2289,0.13025973613063493,2183,0.5560286343097687,0.001,,
0.5902439300000001,132,6.91,17,316,2314,0.09216864109039306,2210,0.45665035645167035,0.001,,
0.54274216,132,6.93,17,320,2346,0.11102749808476521,2244,0.614097250359399,0.001,,
0.53842369,132,6.96,17,324,2368,0.12291561160236597,2267,0.5573975145816803,0.001,,
0.57808733,132,7.12,18,328,2407,0.10152974937643323,2294,0.6049313694238663,0.001,,
0.61298562,132,7.06,18,332,2436,0.0900799073278904,2325,0.42221468687057495,0.001,,
0.67680336,132,7.14,18,336,2473,0.10331492312252522,2364,0.49946704506874084,0.001,,
0.6840086899999999,132,6.98,18,340,2495,0.12465043514966964,2393,0.6783826053142548,0.001,,
0.70765586,132,7.07,19,344,2528,0.13895727396011354,2415,0.5407490730285645,0.001,,
0.7697974000000001,132,7.11,19,348,2561,0.11494656110351736,2453,0.5889634013175964,0.001,,
0.8012397800000001,132,7.26,19,352,2593,0.15046522563154047,2491,0.5176396667957306,0.001,,
0.7712316199999999,132,7.32,19,356,2624,0.1198159313450257,2522,0.48795119176308316,0.001,,
0.76736165,132,7.24,19,360,2643,0.10269771665334701,2541,0.5606779456138611,0.001,,
0.77062152,132,7.2,20,364,2668,0.1219197753816843,2566,0.5221634060144424,0.001,,
0.8083899400000001,132,7.17,20,368,2692,0.1458154283463955,2590,0.5150323013464609,0.001,,
0.8351389900000001,132,7.15,20,372,2717,0.13310138508677483,2615,0.4225883483886719,0.001,,
0.94853028,133,7.01,20,376,2741,0.11178830079734325,2633,0.596337229013443,0.001,,
0.9468711000000001,132,7.02,20,380,2769,0.13789857923984528,2665,0.39433157444000244,0.001,,
0.94294198,132,7.03,21,384,2794,0.08251997530460357,2693,0.5472856163978577,0.001,,
0.9320332399999998,132,7.05,21,388,2815,0.1123142061488969,2713,0.5714724063873291,0.001,,
