time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates,eval/mean_reward,eval/mean_ep_length
4,7.5,0,-7.75107425,30,560,,,,,,
8,6.5,0,-7.275013375,52,604,,,,,,
12,5.833333333333333,0,-6.742450166666667,70,634,,,,,,
16,5.6875,0,-6.5052440625,91,640,,,,,,
20,5.85,0,-6.507288700000001,117,196,0.9749487439791361,0.9046696424484253,0.001,14,,
24,5.666666666666667,0,-5.6662252083333335,136,183,0.6250608960787455,0.4915848016738892,0.001,34,,
28,5.892857142857143,0,-5.3569086071428575,165,170,0.597307002544403,0.33238819903797573,0.001,60,,
32,6.0625,1,-5.1570294062499995,194,163,0.6036628782749176,0.16218251734972,0.001,85,,
36,6.527777777777778,1,-4.726382444444443,235,143,0.5258363038301468,0.08999393632014592,0.001,126,,
40,6.45,1,-4.2803157249999995,258,138,0.5158640891313553,0.0767950601875782,0.001,156,,
44,6.363636363636363,2,-3.998852795454546,280,138,0.46851545572280884,0.07097306475043297,0.001,173,,
48,6.541666666666667,2,-3.7684021874999996,314,135,0.48380865901708603,0.06951828797658284,0.001,213,,
52,6.673076923076923,2,-3.6045043846153844,347,135,0.42500071227550507,0.056205779727962285,0.001,245,,
56,6.678571428571429,2,-3.4206283928571426,374,134,0.42585083842277527,0.05283063743263483,0.001,272,,
60,6.883333333333334,3,-3.409922633333333,413,135,0.49384563565254214,0.05011620786454943,0.001,304,,
64,6.96875,3,-3.3394397343749995,446,135,0.4482189416885376,0.0392010360956192,0.001,335,,
68,6.985294117647059,3,-3.119758808823529,475,133,0.523668327501842,0.044064946472644806,0.001,373,,
72,7.0,3,-3.0968674027777774,504,134,0.5157740712165833,0.048858365043997765,0.001,400,,
76,6.934210526315789,3,-2.9386169605263155,527,133,0.5123569170633951,0.04604189693927765,0.001,422,,
80,6.9625,4,-2.8524616875,557,133,0.5169489502906799,0.054687334393913094,0.001,455,,
84,6.928571428571429,4,-2.7509992380952375,582,133,0.42869986593723297,0.052854711562395094,0.001,477,,
